Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"Der Jahrhundert Bankraub","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat, Filmplakat, Held, Kino, blau",1690577144759_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Weingut Stein Rotwein","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Reisen, Tourismus, rechtefreies Plakat, Hochformat, Weingut, Herbst, weinrot, Weintrauben, Fremdenverkehr",1690577145227_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Tal der Krieger","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat rechtefrei, Filmplakat, Kino, Krieg, Kampf, Plakat, Feuer, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat",1690577145207_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Rock For Anarchy 2","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, Demonstration",1690577145225_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Wiener Universal Versicherung “hoffentlich reiseversichert”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Versicherung, Plakat, Versicherungen, rechtefreies Plakat, Lebensversicherung, Hochformat, Unfallversicherung, Geldwesen, Kfz-Versicherung, Werbung, Reiseversicherung, Werbeplakat, blau, Finanzen, Schalter, Geld",1690577145810_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Kirat","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Sänger, Türkische Schlager, Plakat, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert, Kultur, Jugendkultur, Pop",1690577145793_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Win Coach Rabel","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, bunt, Erwachsenenbildung, Fortbildung, Plakat, rechtefreies Plakat",1690577147335_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Es ist Dein Urlaub – Paare Hochformat","Hier findest Du dieses Motiv auch als Querformat. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Reisen, Tourismus, rechtefreies Plakat, rechtefrei, Sommer, Fremdenverkehr, Sonne, Urlaub, Strand, Plakat",1690577147974_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Votec Migralam","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Medizin, Hochformat, Pharma, Apotheke, Arzt, Medikamente, Plakat, rechtefreies Plakat, rechtefrei, Gesundheit",1690577148805_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Computer Spiel Lethal Assault","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Kinder, Jugendliche, Buben, Kinderzimmer, orange, bunt",1690577149524_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Demo “Expect Resistance”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Poster, Junge, Einwanderer, Flüchtling, Plakat, Immigrant, rechtefreies Plakat, Asylant, Hochformat, NGO, Jugendzimmer, NPO, blau, schwarz, Menschenrechte",1690577149522_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Votec Prodyn Energeticum","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Medikamente, Plakat, rechtefreies Plakat, rechtefrei, Gesundheit, Medizin, Hochformat, Pharma, Apotheke, Arzt",1690577150906_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Bio Bäckerei Kamper v2","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbeplakat, Semmeln, Einkauf, Supermarkt, Markt, Aktionsangebote, Plakat, Brot, rechtefreies Plakat, beige, Bio, sand, rechtefrei, Bäcker, Hochformat, Bäckerei, Werbung, creme",1690577150898_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Spielankündigung “KFV-FFC”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, Querformat, Veranstaltung, Sport, Fussball, Frauenfussball, Spielankündigung, Match, Turnier",1690577151095_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"NEIN zu Drogen","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Drogenentzug, Hochformat, Wachstube, Amt, Jugendzimmer, schwarz, rot, Poster, Junge, Sucht, Beamter, Plakat, Behörden, rechtefreies Plakat, Polizei, Drogen, Gesundheit, Alkohol",1690577151091_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Serbien Temple Saint Sava","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, Fremdenverkehr, Plakat, Reisen, Tourismus, rechtefreies Plakat",1690577151647_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Anarchy Skull","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"bunt, Plakat, Hochformat, Links, Politisch, Punks, Demonstration, Anarchie, gelb",1690577151661_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Anarchie Mooswand","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, grau, Demonstration, Anarchie, grün",1690577151951_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
